SKU REF.,SKU,ORGAO ORCAMENTARIO,TITULO,FONTE,EXERCICIO FINANCEIRO,DESPESA GOV. FEDERAL,TOTAL ,"% Transferencias a Estados, Distrito Federal e Municipios",%UF,VALOR UF,% Operacoes Oficiais de Credito,%OP,VALOR OP,% Divida Publica Federal,%DIVIDA,VALOR DIVIDA,% Em relacao ao Total ,%TODO
LOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2023, Anexo II",2023,5201902145481,122622247603,5.8556,0.058556,7180268330.641268,4.7551,0.047550999999999996,5830810495.770252,4.6348,0.046348,5683295931.903844,2.3573,0.023573
LOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2022, Anexo II",2022,4730024789081,116493772013,6.5085,0.065085,7581997151.466105,5.3028,0.053028000000000006,6177431742.305365,5.1506,0.051505999999999996,6000128221.301578,2.4629,0.024628999999999998
LOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2021, Anexo II",2021,4181004169000,65848327897,4.1366,0.04136599999999999,2723881931.7873015,3.4666,0.034666,2282698134.8774023,3.3794,0.033794,2225278392.9512177,1.5749,0.015749
LOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2020, Anexo II",2020,3565520100068,73069108757,4.526,0.045259999999999995,3307107862.34182,3.8116,0.038116,2785102149.3818116,3.7174,0.037174,2716271048.932718,2.0493,0.020493
LOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2019, Anexo II",2019,3262209303823,107716786794,7.18,0.0718,7734065291.8092,6.02,0.0602,6484550564.998799,5.85,0.058499999999999996,6301432027.448999,3.3,0.033
LOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2018, Anexo II",2018,3506421082632,100664996276,7.14,0.07139999999999999,7187480734.1064,6.04,0.0604,6080165775.0704,5.82,0.0582,5858702783.2632,2.87,0.0287
LOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2017, Anexo II",2017,3415431200238,94837003786,4.37,0.0437,4144377065.4482,3.93,0.0393,3727094248.7898,3.81,0.0381,3613289844.2466,2.78,0.0278
LOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2016, Anexo II",2016,2953546387308,82058369206,4.66,0.0466,3823920004.9996004,4.08,0.0408,3347981463.6048,3.96,0.039599999999999996,3249511420.5575995,2.78,0.0278
PLOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2022, Anexo II",2022,5031379067178,117053339181,6.85,0.06849999999999999,8018153733.898499,5.61,0.056100000000000004,6566692328.0541,5.44,0.054400000000000004,6367701651.446401,2.53,0.0253
PLOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2023, Anexo II",2023,4619672809540,121041096423,6.27,0.06269999999999999,7589276745.722099,5.03,0.050300000000000004,6088367150.0769005,4.89,0.0489,5918909615.0847,2.41,0.0241
PLOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2021, Anexo II",2021,4147580314649,65204797706,4.13,0.041299999999999996,2692958145.2577996,3.49,0.0349,2275647439.9394,3.4,0.034,2216963122.004,1.57,0.015700000000000002
PLOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2020, Anexo II",2020,3687212175403,68637893274,4.07,0.0407,2793562256.2518,3.46,0.0346,2374871107.2804,3.37,0.0337,2313097003.3338,1.86,0.018600000000000002
PLOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2019, Anexo II",2019,3262209303823,107026041899,7.13,0.0713,7630956787.398701,5.98,0.059800000000000006,6400157305.560201,5.82,0.0582,6228915638.5218,3.28,0.032799999999999996
PLOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2018, Anexo II",2018,3536395045988,92640682007,6.73,0.0673,6234717899.0711,5.7,0.057,5280518874.399,5.48,0.0548,5076709373.9836,2.62,0.0262
PLOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2017, Anexo II",2017,4906124486006,93332526763,4.32,0.0432,4031965156.1616,3.88,0.0388,3621302038.4044,3.77,0.0377,3518636258.9651,2.75,0.0275
PLOA,5200,Ministerio da Defesa,Despesa dos Orçamentos Fiscal e da Seguridade Social por Órgão Orçamentário,"Orçamento da União – Exercício financeiro de 2016, Anexo II",2016,4036849438074,82593900903,4.84,0.0484,3997544803.7051997,4.25,0.0425,3510240788.3775,4.08,0.0408,3369831156.8424,2.84,0.028399999999999998
